School Name,Projected Core Teacher Position Loss,Rep,Senate,ERSB,100% Funding,Positions 100%,95% Funding,Positions 95%,90% Funding,Positions 90%,85% Funding,Positions 85%,80% Funding,Positions 80%
CHOPIN,-2,4,2,5A,"$1,650,148 ",17,"$1,341,506 ",13,"$1,032,864 ",10,"$724,222 ",7,"$415,580 ",4
CHRISTOPHER,0,1,1,8B,"$2,671,712 ",27,"$2,171,998 ",22,"$1,672,284 ",17,"$1,172,570 ",12,"$672,856 ",7
CLAREMONT,-2,6,3,9A,"$1,672,761 ",17,"$1,359,889 ",14,"$1,047,018 ",10,"$734,147 ",7,"$421,275 ",4
CLARK ES,0,8,4,5A,"$799,454 ",8,"$649,925 ",6,"$500,396 ",5,"$350,867 ",4,"$201,338 ",2
CLARK HS,-2,8,4,5A,"$1,873,784 ",19,"$1,523,313 ",15,"$1,172,843 ",12,"$822,372 ",8,"$471,902 ",5
CLAY,-2,33,17,10B,"$1,945,646 ",19,"$1,581,734 ",16,"$1,217,823 ",12,"$853,911 ",9,"$490,000 ",5
CLEMENTE HS,-6,4,2,5A,"$2,664,674 ",27,"$2,166,276 ",22,"$1,667,878 ",17,"$1,169,481 ",12,"$671,083 ",7
CLEVELAND,-3,40,20,3A,"$2,020,883 ",20,"$1,642,899 ",16,"$1,264,915 ",13,"$886,932 ",9,"$508,948 ",5
CLINTON,-2,15,8,2A,"$3,111,708 ",31,"$2,529,698 ",25,"$1,947,687 ",19,"$1,365,677 ",14,"$783,666 ",8
CLISSOLD,-3,35,18,9B,"$2,077,373 ",21,"$1,688,824 ",17,"$1,300,274 ",13,"$911,724 ",9,"$523,175 ",5
COLEMON,0,28,14,9B,"$1,003,477 ",10,"$815,788 ",8,"$628,098 ",6,"$440,409 ",4,"$252,720 ",3
COLES,-1,33,17,10B,"$1,204,291 ",12,"$979,041 ",10,"$753,792 ",8,"$528,543 ",5,"$303,294 ",3
COLLINS STEAM HS,-1,9,5,5B,"$1,179,705 ",12,"$959,055 ",10,"$738,404 ",7,"$517,753 ",5,"$297,102 ",3
COLUMBIA EXPLORERS,-4,23,12,7B,"$2,498,646 ",25,"$2,031,302 ",20,"$1,563,958 ",16,"$1,096,614 ",11,"$629,270 ",6
COOK,0,31,16,9A,"$1,360,549 ",14,"$1,106,074 ",11,"$851,598 ",9,"$597,122 ",6,"$342,647 ",3
COONLEY,-1,11,6,4B,"$2,226,695 ",22,"$1,810,217 ",18,"$1,393,738 ",14,"$977,259 ",10,"$560,781 ",6
COOPER,-3,24,12,7A,"$1,655,821 ",17,"$1,346,118 ",13,"$1,036,415 ",10,"$726,712 ",7,"$417,009 ",4
CORKERY,-2,23,12,7A,"$1,691,292 ",17,"$1,374,954 ",14,"$1,058,617 ",11,"$742,280 ",7,"$425,942 ",4
CORLISS HS,-3,34,17,10B,"$1,702,946 ",17,"$1,384,429 ",14,"$1,065,912 ",11,"$747,394 ",7,"$428,877 ",4
COURTENAY,0,13,7,4A,"$1,652,476 ",17,"$1,343,399 ",13,"$1,034,322 ",10,"$725,244 ",7,"$416,167 ",4
CRANE MEDICAL HS,0,9,5,5B,"$1,234,578 ",12,"$1,003,664 ",10,"$772,750 ",8,"$541,836 ",5,"$310,921 ",3
CROWN,0,9,5,5B,"$727,254 ",7,"$591,229 ",6,"$455,204 ",5,"$319,179 ",3,"$183,155 ",2
CUFFE,0,31,16,9A,"$1,104,630 ",11,"$898,021 ",9,"$691,413 ",7,"$484,804 ",5,"$278,195 ",3
CULLEN,0,34,17,9B,"$903,499 ",9,"$734,509 ",7,"$565,520 ",6,"$396,531 ",4,"$227,541 ",2
CURIE HS,-6,1,1,7B,"$8,225,807 ",82,"$6,687,261 ",67,"$5,148,715 ",51,"$3,610,169 ",36,"$2,071,623 ",21
CURTIS,-3,28,14,9B,"$1,284,269 ",13,"$1,044,060 ",10,"$803,852 ",8,"$563,644 ",6,"$323,436 ",3
DAISY BATES,0,33,17,10B,"$1,011,721 ",10,"$822,490 ",8,"$633,259 ",6,"$444,028 ",4,"$254,796 ",3
DALEY,-2,6,3,8B,"$1,638,002 ",16,"$1,331,632 ",13,"$1,025,262 ",10,"$718,892 ",7,"$412,521 ",4
DARWIN,-1,39,20,3B,"$1,812,379 ",18,"$1,473,393 ",15,"$1,134,408 ",11,"$795,423 ",8,"$456,437 ",5
DAVIS M,0,32,16,9A,"$966,434 ",10,"$785,673 ",8,"$604,912 ",6,"$424,152 ",4,"$243,391 ",2
DAVIS N,-3,23,12,7B,"$1,897,192 ",19,"$1,542,344 ",15,"$1,187,495 ",12,"$832,646 ",8,"$477,797 ",5
DAWES,-2,32,16,8A,"$2,760,264 ",28,"$2,243,987 ",22,"$1,727,710 ",17,"$1,211,434 ",12,"$695,157 ",7
DE DIEGO,-4,4,2,6A,"$2,143,524 ",21,"$1,742,602 ",17,"$1,341,679 ",13,"$940,757 ",9,"$539,835 ",5
DECATUR,-2,16,8,2A,"$991,191 ",10,"$805,800 ",8,"$620,409 ",6,"$435,017 ",4,"$249,626 ",2
DENEEN,-1,32,16,6B,"$1,500,513 ",15,"$1,219,859 ",12,"$939,205 ",9,"$658,550 ",7,"$377,896 ",4
DEPRIEST,-2,8,4,5A,"$2,002,355 ",20,"$1,627,837 ",16,"$1,253,319 ",13,"$878,800 ",9,"$504,282 ",5
DETT,-1,10,5,5B,"$1,550,419 ",16,"$1,260,431 ",13,"$970,442 ",10,"$680,453 ",7,"$390,464 ",4
DEVER,-2,20,10,1A,"$1,944,268 ",19,"$1,580,614 ",16,"$1,216,960 ",12,"$853,307 ",9,"$489,653 ",5
DEVRY HS,0,13,7,2B,"$739,947 ",7,"$601,548 ",6,"$463,149 ",5,"$324,750 ",3,"$186,351 ",2
DEWEY,0,6,3,9A,"$1,315,101 ",13,"$1,069,126 ",11,"$823,151 ",8,"$577,176 ",6,"$331,201 ",3
DIRKSEN,-4,20,10,1A,"$3,093,355 ",31,"$2,514,777 ",25,"$1,936,199 ",19,"$1,357,622 ",14,"$779,044 ",8
DISNEY,-4,11,6,4A,"$3,448,076 ",34,"$2,803,152 ",28,"$2,158,227 ",22,"$1,513,303 ",15,"$868,379 ",9
DISNEY II ES & HS,0,#N/A,#N/A,#N/A,#N/A ,#N/A,#N/A ,#N/A,#N/A ,#N/A,#N/A ,#N/A,#N/A ,#N/A
DIXON,-2,34,17,10B,"$1,294,991 ",13,"$1,052,777 ",11,"$810,563 ",8,"$568,350 ",6,"$326,136 ",3
DOOLITTLE,-1,26,13,10A,"$1,116,384 ",11,"$907,576 ",9,"$698,769 ",7,"$489,962 ",5,"$281,155 ",3
DORE,0,22,11,8A,"$2,662,818 ",27,"$2,164,768 ",22,"$1,666,717 ",17,"$1,168,667 ",12,"$670,616 ",7
DOUGLASS HS,0,78,39,5A,"$866,616 ",9,"$704,525 ",7,"$542,434 ",5,"$380,343 ",4,"$218,252 ",2
DRAKE,-1,6,3,8B,"$1,321,195 ",13,"$1,074,080 ",11,"$826,965 ",8,"$579,851 ",6,"$332,736 ",3
DRUMMOND,0,10,5,4B,"$1,301,352 ",13,"$1,057,949 ",11,"$814,545 ",8,"$571,142 ",6,"$327,738 ",3
DUBOIS,0,29,15,10B,"$990,239 ",10,"$805,026 ",8,"$619,813 ",6,"$434,599 ",4,"$249,386 ",2
DULLES,-4,5,3,6B,"$2,106,500 ",21,"$1,712,502 ",17,"$1,318,505 ",13,"$924,508 ",9,"$530,510 ",5
DUNBAR HS,-3,5,3,6B,"$1,562,036 ",16,"$1,269,874 ",13,"$977,713 ",10,"$685,551 ",7,"$393,390 ",4
DUNNE,0,27,14,9B,"$1,010,534 ",10,"$821,525 ",8,"$632,516 ",6,"$443,506 ",4,"$254,497 ",3
DURKIN PARK,-1,32,16,8A,"$2,190,875 ",22,"$1,781,096 ",18,"$1,371,317 ",14,"$961,538 ",10,"$551,760 ",6
DVORAK,-2,9,5,5B,"$1,018,240 ",10,"$827,790 ",8,"$637,339 ",6,"$446,889 ",4,"$256,438 ",3
DYETT ARTS HS,-3,26,13,6B,"$1,663,082 ",17,"$1,352,021 ",14,"$1,040,960 ",10,"$729,899 ",7,"$418,838 ",4
EARHART,0,33,17,10B,"$859,360 ",9,"$698,626 ",7,"$537,893 ",5,"$377,159 ",4,"$216,425 ",2
EARLE,-1,6,3,9A,"$1,212,934 ",12,"$986,068 ",10,"$759,202 ",8,"$532,336 ",5,"$305,471 ",3
EBERHART,-4,1,1,8B,"$2,892,647 ",29,"$2,351,609 ",24,"$1,810,572 ",18,"$1,269,534 ",13,"$728,497 ",7
EBINGER,-2,20,10,1A,"$2,082,994 ",21,"$1,693,393 ",17,"$1,303,792 ",13,"$914,191 ",9,"$524,590 ",5
EDGEBROOK,0,15,8,1A,"$1,681,662 ",17,"$1,367,126 ",14,"$1,052,590 ",11,"$738,053 ",7,"$423,517 ",4
EDISON,-1,40,20,2B,"$823,316 ",8,"$669,324 ",7,"$515,332 ",5,"$361,339 ",4,"$207,347 ",2
EDISON PARK,-1,20,10,1A,"$1,660,087 ",17,"$1,349,586 ",13,"$1,039,085 ",10,"$728,584 ",7,"$418,083 ",4
EDWARDS,-2,1,1,7B,"$3,954,703 ",40,"$3,215,020 ",32,"$2,475,336 ",25,"$1,735,653 ",17,"$995,970 ",10
ELLINGTON,-2,8,4,5A,"$2,081,331 ",21,"$1,692,041 ",17,"$1,302,751 ",13,"$913,462 ",9,"$524,172 ",5
ENGLEWOOD STEM HS,-6,32,16,6B,"$2,307,282 ",23,"$1,875,730 ",19,"$1,444,179 ",14,"$1,012,627 ",10,"$581,076 ",6
ERICSON,-3,10,5,5B,"$1,216,188 ",12,"$988,714 ",10,"$761,239 ",8,"$533,765 ",5,"$306,290 ",3
ESMOND,0,35,18,9B,"$954,921 ",10,"$776,314 ",8,"$597,707 ",6,"$419,099 ",4,"$240,492 ",2
EVERETT,0,1,1,7B,"$737,576 ",7,"$599,620 ",6,"$461,665 ",5,"$323,710 ",3,"$185,754 ",2
EVERGREEN,0,24,12,8B,"$846,901 ",8,"$688,497 ",7,"$530,094 ",5,"$371,691 ",4,"$213,287 ",2
EVERS,0,27,14,9B,"$1,076,230 ",11,"$874,933 ",9,"$673,636 ",7,"$472,339 ",5,"$271,043 ",3
FAIRFIELD,-3,6,3,8B,"$1,551,903 ",16,"$1,261,637 ",13,"$971,371 ",10,"$681,104 ",7,"$390,838 ",4
FALCONER,0,39,20,3A,"$2,855,752 ",29,"$2,321,615 ",23,"$1,787,479 ",18,"$1,253,342 ",13,"$719,205 ",7
FARADAY,0,10,5,5B,"$1,114,247 ",11,"$905,840 ",9,"$697,432 ",7,"$489,025 ",5,"$280,617 ",3
FARMER,-2,26,13,10A,"$1,031,969 ",10,"$838,951 ",8,"$645,932 ",6,"$452,914 ",5,"$259,896 ",3
FARNSWORTH,-2,19,10,1A,"$2,194,177 ",22,"$1,783,781 ",18,"$1,373,384 ",14,"$962,988 ",10,"$552,591 ",6
FARRAGUT HS,-3,23,12,7A,"$2,169,128 ",22,"$1,763,417 ",18,"$1,357,705 ",14,"$951,994 ",10,"$546,283 ",5
FENGER HS,-1,27,14,9B,"$1,135,484 ",11,"$923,104 ",9,"$710,724 ",7,"$498,345 ",5,"$285,965 ",3
FERNWOOD,-1,27,14,9B,"$838,452 ",8,"$681,629 ",7,"$524,806 ",5,"$367,983 ",4,"$211,159 ",2
FIELD,0,14,7,2A,"$669,339 ",7,"$544,146 ",5,"$418,954 ",4,"$293,762 ",3,"$168,569 ",2
FINKL,0,24,12,7A,"$1,477,586 ",15,"$1,201,220 ",12,"$924,854 ",9,"$648,488 ",6,"$372,122 ",4
FISKE,-2,5,3,6B,"$1,526,092 ",15,"$1,240,653 ",12,"$955,215 ",10,"$669,776 ",7,"$384,338 ",4
FOREMAN HS,-5,39,20,1B,"$2,318,286 ",23,"$1,884,676 ",19,"$1,451,066 ",15,"$1,017,457 ",10,"$583,847 ",6
FORT DEARBORN,-2,27,14,9A,"$1,412,650 ",14,"$1,148,429 ",11,"$884,209 ",9,"$619,988 ",6,"$355,768 ",4
FOSTER PARK,-1,31,16,9A,"$1,597,875 ",16,"$1,299,011 ",13,"$1,000,146 ",10,"$701,281 ",7,"$402,416 ",4
FRANKLIN,-2,12,6,6A,"$1,155,884 ",12,"$939,688 ",9,"$723,493 ",7,"$507,298 ",5,"$291,103 ",3
FRAZIER PROSPECTIVE,0,9,5,5B,"$839,675 ",8,"$682,623 ",7,"$525,571 ",5,"$368,519 ",4,"$211,467 ",2
FULTON,-1,6,3,9A,"$1,217,699 ",12,"$989,942 ",10,"$762,185 ",8,"$534,428 ",5,"$306,671 ",3
FUNSTON,-1,3,2,3B,"$1,981,575 ",20,"$1,610,943 ",16,"$1,240,312 ",12,"$869,680 ",9,"$499,048 ",5
GAGE PARK HS,-4,1,1,8B,"$1,528,082 ",15,"$1,242,271 ",12,"$956,460 ",10,"$670,650 ",7,"$384,839 ",4
GALE,-3,14,7,2A,"$1,853,429 ",19,"$1,506,766 ",15,"$1,160,103 ",12,"$813,439 ",8,"$466,776 ",5
GALILEO,-2,9,5,7A,"$1,788,830 ",18,"$1,454,249 ",15,"$1,119,668 ",11,"$785,088 ",8,"$450,507 ",5
GALLISTEL,-2,25,13,10B,"$1,926,506 ",19,"$1,566,175 ",16,"$1,205,843 ",12,"$845,511 ",8,"$485,180 ",5
GARVEY,0,27,14,9B,"$913,228 ",9,"$742,419 ",7,"$571,610 ",6,"$400,801 ",4,"$229,991 ",2
GARVY,-2,20,10,1A,"$1,868,141 ",19,"$1,518,726 ",15,"$1,169,311 ",12,"$819,896 ",8,"$470,481 ",5
GARY,-4,23,12,7A,"$2,449,306 ",24,"$1,991,190 ",20,"$1,533,075 ",15,"$1,074,959 ",11,"$616,844 ",6
GILLESPIE,-1,34,17,9B,"$1,332,474 ",13,"$1,083,249 ",11,"$834,025 ",8,"$584,800 ",6,"$335,576 ",3
GINSBURG,-1,4,2,5A,"$889,947 ",9,"$723,493 ",7,"$557,038 ",6,"$390,583 ",4,"$224,128 ",2
GOETHE,-1,39,20,3B,"$2,178,406 ",22,"$1,770,959 ",18,"$1,363,513 ",14,"$956,066 ",10,"$548,619 ",5
GOODE HS,-5,32,16,8A,"$3,171,816 ",32,"$2,578,563 ",26,"$1,985,310 ",20,"$1,392,057 ",14,"$798,804 ",8
GOUDY,-2,13,7,4A,"$1,889,094 ",19,"$1,535,760 ",15,"$1,182,426 ",12,"$829,092 ",8,"$475,758 ",5
GRAHAM ES,-2,6,3,9A,"$1,454,007 ",15,"$1,182,051 ",12,"$910,095 ",9,"$638,139 ",6,"$366,183 ",4
GRAY,-2,19,10,1B,"$2,704,569 ",27,"$2,198,709 ",22,"$1,692,850 ",17,"$1,186,990 ",12,"$681,131 ",7
GREELEY,-3,13,7,4A,"$1,351,077 ",14,"$1,098,373 ",11,"$845,669 ",8,"$592,965 ",6,"$340,261 ",3
GREEN,0,27,14,9B,"$1,458,869 ",15,"$1,186,004 ",12,"$913,139 ",9,"$640,273 ",6,"$367,408 ",4
GREENE,-2,24,12,8B,"$1,337,247 ",13,"$1,087,130 ",11,"$837,012 ",8,"$586,895 ",6,"$336,778 ",3
GREGORY,0,9,5,5B,"$1,165,479 ",12,"$947,489 ",9,"$729,499 ",7,"$511,509 ",5,"$293,519 ",3
